ship_type,ship_name,lon,lat,p_lon,p_lat,datetime,distance
Cargo,MERI,18.69403,54.45842,18.65869,54.4373,2016-12-16T12:57:02Z,3280.2126062956067
Tug,CRESTWAY,18.65902,54.37536,18.65903,54.37539,2016-12-14T20:01:02Z,3.4019487859846147
Cargo,VITIM,20.80078,55.74082,18.99401,54.45097,2016-12-17T15:39:06Z,184002.72535214768
Tanker,MURRAY STAR,18.95198,54.43482,18.93194,54.4347,2016-12-18T13:29:02Z,1297.5927859763397
Tanker,NEPTUNUS,11.63235,57.60192,18.89334,54.79743,2016-12-18T15:47:06Z,546950.420984384
Cargo,TRANSOSPREY,30.0053,59.92068,18.99946,54.72713,2016-12-18T14:43:03Z,876546.7801576954
Tanker,MINERVA ALICE,18.65798,54.38085,18.65993,54.38025,2016-12-15T07:59:01Z,142.98226768678296
Cargo,SANDETTIE,18.96664,54.75603,18.65818,54.40707,2016-12-14T10:09:01Z,43646.55924049947
Tanker,THUN GALAXY,20.80074,55.74546,18.99655,54.69195,2016-12-17T21:23:06Z,163940.20322549736
Cargo,TINA,18.86041,54.56521,18.84484,54.55447,2016-12-13T15:51:01Z,1561.8795991314535
Cargo,LINGEDIJK,18.78108,54.50918,18.67678,54.40303,2016-12-14T10:09:01Z,13608.368066430596
Tanker,PRINS MAURITS,18.87485,54.45961,18.87786,54.46178,2016-12-14T10:09:01Z,310.2997208863034
Passenger,SCOTTISH VIKING,18.93119,54.78376,18.94562,54.765,2016-12-19T18:59:02Z,2284.6629545326173
Cargo,BOGDAN,18.98923,54.78593,18.66143,54.38472,2016-12-14T10:09:01Z,49415.317785921
Tug,JAMES COOK,18.6615,54.37517,18.6615,54.37533,2016-12-18T00:11:02Z,17.81111852653745
Tanker,LUKE,11.67853,57.60288,18.91228,54.79767,2016-12-20T01:09:04Z,545609.1159265137
Tug,MAJA,18.66537,54.40533,18.64834,54.36606,2016-12-14T10:09:01Z,4508.755433332993
